date,djia
2010-10-11,104.02854886072888
2010-10-12,104.12359835071184
2010-10-13,104.83864262525556
2010-10-14,104.8243757534987
2010-10-15,104.52401558584879
2010-10-18,105.28847425727234
2010-10-19,103.72885007123988
2010-10-20,104.95098243001677
2010-10-21,105.31568524446426
2010-10-22,105.18331512968682
2010-10-25,105.48084081950424
2010-10-26,105.53195590308351
2010-10-27,105.1239800603933
2010-10-28,105.0074830214778
2010-10-29,105.05037811934284
2010-11-01,105.10829594972016
2010-11-02,105.71392937992962
2010-11-03,105.96345791178351
2010-11-04,108.03933499370744
2010-11-05,108.12663691094828
2010-11-08,107.77478372934141
2010-11-09,107.20703781949291
2010-11-10,107.30426040914743
2010-11-11,106.60565610603216
2010-11-12,105.7503996613744
2010-11-15,105.83911881753143
2010-11-16,104.15288795498094
2010-11-17,104.00530614250245
2010-11-18,105.6431619167117
2010-11-19,105.85404706744923
2010-11-22,105.61812402919136
2010-11-23,104.27448705399492
2010-11-24,105.70032388633369
2010-11-26,104.80009372673366
2010-11-29,104.42679299619422
2010-11-30,103.98773237994101
2010-12-01,106.34752965808642
2010-12-02,107.35499756234907
2010-12-03,107.54093930816065
2010-12-06,107.35291894527192
2010-12-07,107.32429071916373
2010-12-08,107.45014153492643
2010-12-09,107.42727674707766
2010-12-10,107.80766367219832
2010-12-13,107.97999992441393
2010-12-14,108.43332741242409
2010-12-15,108.25314910487191
2010-12-16,108.64789738434385
2010-12-17,108.57854716004219
2010-12-20,108.4483501449363
2010-12-21,108.96828786201007
2010-12-22,109.2170605331086
2010-12-23,109.34933616529163
2010-12-27,109.17492129599886
2010-12-28,109.36870509714704
2010-12-29,109.4616759700528
2010-12-30,109.31362174460222
2010-12-31,109.38731816824705
2011-01-03,110.26827387858609
2011-01-04,110.46130181897892
2011-01-05,110.7609061258735
2011-01-06,110.51921964935622
2011-01-07,110.30616139894708
2011-01-10,109.9536468391793
2011-01-11,110.27895041175516
2011-01-12,111.06844697069906
2011-01-13,110.84603494344273
2011-01-14,111.37022437726525
2011-01-18,111.84783389204044
2011-01-19,111.72840789269802
2011-01-20,111.70488172668831
2011-01-21,112.16822436970664
2011-01-24,113.19506120582469
2011-01-25,113.163598501884
2011-01-26,113.24154664227757
2011-01-27,113.28302450122641
2011-01-28,111.7133851601858
2011-01-31,112.35803990188928
2011-02-01,113.75855539892441
2011-02-02,113.7756567485138
2011-02-03,113.9673619325848
2011-02-04,114.24977040729559
2011-02-07,114.90623547330108
2011-02-08,115.5819749885676
2011-02-09,115.64565625720431
2011-02-10,115.54550470712287
2011-02-11,115.96094467477201
2011-02-14,115.91304199940286
2011-02-15,115.5204668196025
2011-02-16,116.10181822304699
2011-02-17,116.38498255851307
2011-02-18,117.0757448062918
2011-02-22,115.38960842633571
2011-02-23,114.37855018348522
2011-02-24,114.02631907150065
2011-02-25,114.6116387439106
2011-02-28,115.51763234177
2011-03-01,113.92730131255222
2011-03-02,114.01025703044985
2011-03-03,115.81865388758085
2011-03-04,114.98418361369471
2011-03-07,114.22974009727928
2011-03-08,115.40463115884792
2011-03-09,115.3924429041682
2011-03-10,113.23370458694099
2011-03-11,113.798616018957
2011-03-14,113.31448720516708
2011-03-15,112.0130839496748
2011-03-16,109.72547137366355
2011-03-17,111.24938113900656
2011-03-18,112.0423735539439
2011-03-21,113.72425821715125
2011-03-22,113.55513437314579
